year_month,group,n_paragraphs,domain_business_development_n,domain_business_development_per100,domain_civil_rights_voting_n,domain_civil_rights_voting_per100,domain_criminal_justice_n,domain_criminal_justice_per100,domain_education_n,domain_education_per100,domain_employment_labor_n,domain_employment_labor_per100,domain_health_n,domain_health_per100,domain_housing_n,domain_housing_per100,domain_immigration_n,domain_immigration_per100,domain_social_policy_n,domain_social_policy_per100,policy_frame_funding_n,policy_frame_funding_per100,theme_anti_discrimination_n,theme_anti_discrimination_per100,theme_equal_opportunity_n,theme_equal_opportunity_per100,theme_invisibility_n,theme_invisibility_per100
1973-08,ethnic_appeared,4,0,0.0,2,50.0,1,25.0,2,50.0,2,50.0,1,25.0,2,50.0,1,25.0,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0
1973-08,panethnic_appeared,6,1,16.6667,1,16.6667,0,0.0,3,50.0,5,83.3333,1,16.6667,1,16.6667,0,0.0,0,0.0,5,83.3333,0,0.0,0,0.0,0,0.0
1973-09,ethnic_appeared,55,2,3.6364,8,14.5455,10,18.1818,39,70.9091,18,32.7273,5,9.0909,4,7.2727,2,3.6364,19,34.5455,21,38.1818,8,14.5455,2,3.6364,3,5.4545
1973-09,panethnic_appeared,21,2,9.5238,3,14.2857,1,4.7619,13,61.9048,9,42.8571,4,19.0476,1,4.7619,1,4.7619,7,33.3333,12,57.1429,1,4.7619,0,0.0,1,4.7619
1973-10,ethnic_appeared,6,1,16.6667,3,50.0,1,16.6667,3,50.0,4,66.6667,0,0.0,2,33.3333,0,0.0,3,50.0,4,66.6667,1,16.6667,0,0.0,0,0.0
1973-10,panethnic_appeared,3,1,33.3333,2,66.6667,1,33.3333,2,66.6667,2,66.6667,0,0.0,1,33.3333,0,0.0,1,33.3333,3,100.0,1,33.3333,0,0.0,0,0.0
1973-11,ethnic_appeared,6,2,33.3333,1,16.6667,0,0.0,5,83.3333,2,33.3333,3,50.0,1,16.6667,4,66.6667,4,66.6667,2,33.3333,0,0.0,0,0.0,0,0.0
1973-11,panethnic_appeared,7,2,28.5714,2,28.5714,0,0.0,5,71.4286,4,57.1429,2,28.5714,1,14.2857,3,42.8571,3,42.8571,4,57.1429,0,0.0,0,0.0,0,0.0
1973-12,ethnic_appeared,47,3,6.383,7,14.8936,7,14.8936,9,19.1489,28,59.5745,4,8.5106,8,17.0213,23,48.9362,9,19.1489,9,19.1489,2,4.2553,2,4.2553,1,2.1277
1973-12,panethnic_appeared,21,3,14.2857,9,42.8571,2,9.5238,7,33.3333,13,61.9048,1,4.7619,4,19.0476,3,14.2857,2,9.5238,8,38.0952,1,4.7619,1,4.7619,0,0.0
1974-03,ethnic_appeared,42,9,21.4286,6,14.2857,5,11.9048,20,47.619,13,30.9524,11,26.1905,15,35.7143,7,16.6667,4,9.5238,10,23.8095,2,4.7619,1,2.381,1,2.381
1974-03,panethnic_appeared,14,5,35.7143,2,14.2857,0,0.0,7,50.0,6,42.8571,7,50.0,6,42.8571,1,7.1429,1,7.1429,4,28.5714,1,7.1429,0,0.0,0,0.0
1974-06,ethnic_appeared,47,1,2.1277,4,8.5106,4,8.5106,17,36.1702,8,17.0213,1,2.1277,4,8.5106,4,8.5106,6,12.766,3,6.383,3,6.383,0,0.0,4,8.5106
1974-06,panethnic_appeared,7,1,14.2857,1,14.2857,0,0.0,4,57.1429,1,14.2857,1,14.2857,1,14.2857,0,0.0,1,14.2857,0,0.0,1,14.2857,0,0.0,3,42.8571
1974-09,ethnic_appeared,58,13,22.4138,7,12.069,2,3.4483,28,48.2759,26,44.8276,10,17.2414,7,12.069,1,1.7241,20,34.4828,10,17.2414,3,5.1724,1,1.7241,3,5.1724
1974-09,panethnic_appeared,38,2,5.2632,8,21.0526,0,0.0,14,36.8421,10,26.3158,9,23.6842,6,15.7895,3,7.8947,7,18.4211,15,39.4737,2,5.2632,2,5.2632,0,0.0
1974-10,ethnic_appeared,5,0,0.0,1,20.0,0,0.0,1,20.0,2,40.0,2,40.0,0,0.0,1,20.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0
1974-10,panethnic_appeared,14,2,14.2857,3,21.4286,0,0.0,5,35.7143,9,64.2857,1,7.1429,5,35.7143,5,35.7143,3,21.4286,8,57.1429,3,21.4286,0,0.0,1,7.1429
1974-11,ethnic_appeared,5,0,0.0,0,0.0,3,60.0,4,80.0,2,40.0,2,40.0,0,0.0,0,0.0,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0
1974-11,panethnic_appeared,9,0,0.0,2,22.2222,2,22.2222,8,88.8889,2,22.2222,6,66.6667,0,0.0,3,33.3333,2,22.2222,7,77.7778,1,11.1111,0,0.0,1,11.1111
1974-12,ethnic_appeared,5,1,20.0,3,60.0,1,20.0,2,40.0,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1974-12,panethnic_appeared,7,2,28.5714,3,42.8571,0,0.0,2,28.5714,3,42.8571,1,14.2857,1,14.2857,0,0.0,1,14.2857,1,14.2857,0,0.0,1,14.2857,0,0.0
1975-01,ethnic_appeared,9,0,0.0,2,22.2222,2,22.2222,4,44.4444,7,77.7778,1,11.1111,4,44.4444,2,22.2222,4,44.4444,3,33.3333,2,22.2222,1,11.1111,0,0.0
1975-01,panethnic_appeared,5,0,0.0,0,0.0,0,0.0,2,40.0,4,80.0,2,40.0,3,60.0,1,20.0,3,60.0,3,60.0,1,20.0,0,0.0,0,0.0
1975-02,ethnic_appeared,8,1,12.5,3,37.5,0,0.0,5,62.5,6,75.0,4,50.0,1,12.5,0,0.0,2,25.0,4,50.0,0,0.0,1,12.5,0,0.0
1975-02,panethnic_appeared,8,1,12.5,3,37.5,0,0.0,4,50.0,4,50.0,4,50.0,1,12.5,0,0.0,3,37.5,4,50.0,0,0.0,0,0.0,0,0.0
1975-03,ethnic_appeared,9,0,0.0,7,77.7778,1,11.1111,3,33.3333,7,77.7778,0,0.0,2,22.2222,2,22.2222,0,0.0,5,55.5556,0,0.0,0,0.0,0,0.0
1975-03,panethnic_appeared,11,0,0.0,4,36.3636,0,0.0,3,27.2727,6,54.5455,1,9.0909,3,27.2727,1,9.0909,1,9.0909,5,45.4545,0,0.0,1,9.0909,0,0.0
1975-04,ethnic_appeared,9,0,0.0,4,44.4444,0,0.0,3,33.3333,4,44.4444,2,22.2222,1,11.1111,0,0.0,2,22.2222,5,55.5556,0,0.0,0,0.0,1,11.1111
1975-04,panethnic_appeared,8,0,0.0,3,37.5,1,12.5,2,25.0,4,50.0,2,25.0,0,0.0,1,12.5,3,37.5,4,50.0,0,0.0,0,0.0,1,12.5
1975-05,ethnic_appeared,11,0,0.0,4,36.3636,2,18.1818,6,54.5455,6,54.5455,1,9.0909,1,9.0909,2,18.1818,2,18.1818,3,27.2727,3,27.2727,0,0.0,0,0.0
1975-05,panethnic_appeared,11,1,9.0909,5,45.4545,4,36.3636,4,36.3636,5,45.4545,1,9.0909,1,9.0909,1,9.0909,1,9.0909,1,9.0909,2,18.1818,2,18.1818,0,0.0
1975-06,ethnic_appeared,10,0,0.0,3,30.0,4,40.0,7,70.0,6,60.0,2,20.0,1,10.0,3,30.0,2,20.0,8,80.0,1,10.0,1,10.0,0,0.0
1975-06,panethnic_appeared,7,1,14.2857,5,71.4286,3,42.8571,5,71.4286,4,57.1429,1,14.2857,0,0.0,2,28.5714,1,14.2857,5,71.4286,2,28.5714,1,14.2857,0,0.0
1975-07,ethnic_appeared,10,3,30.0,0,0.0,1,10.0,7,70.0,7,70.0,2,20.0,4,40.0,1,10.0,2,20.0,4,40.0,0,0.0,1,10.0,1,10.0
1975-07,panethnic_appeared,8,3,37.5,3,37.5,2,25.0,3,37.5,5,62.5,1,12.5,3,37.5,0,0.0,1,12.5,3,37.5,0,0.0,1,12.5,0,0.0
